Measurement Name :,20230625_SDR641_Run02_Plate03_PR_F1F2,,Generated On :,"25/06/2023, 19:11:20",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"25/06/2023, 17:44:35",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"25/06/2023, 19:11:04",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,33, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,45.55,45.42,45.34,45.37,45.42,45.41,45.27,45.06,45.54,45.55,45.31,45.29,45.54,45.58,45.45,45.2,45.38,45.52,45.29,46.05,45.27,45.42,45.21,45.13,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.06.23 17:44:37,0.03,166.82,163.51,162.38,166.18,166.64,165.92,164.57,167.26,169.77,170.26,165.26,166.94,164.88,163.88,164.21,157.14,170.52,162.23,168.85,173.31,167.18,171.73,168.15,171.49,,33,965,33,29.58,
25.06.23 17:44:52,0.28,169.03,166.16,165,169.07,167.36,167.61,166.23,170.08,174.2,170.26,167.65,169.57,166.1,166.81,165.9,160.86,172.7,164.41,169.81,175.39,167.42,174.66,171.01,173.86,,33,965,33,29.26,
25.06.23 17:45:07,0.53,170.75,168.33,167.39,170.76,169.06,169.3,168.61,171.25,176.19,173.22,169.32,170.77,167.56,166.08,168.32,163.21,176.61,166.35,173.17,177.48,171.01,178.6,174.36,175.77,,33,965,33,29.11,
25.06.23 17:45:22,0.78,173.22,171.49,169.08,172.94,171,172.46,169.57,173.38,178.18,174.46,171.01,173.42,170.5,168.53,170.27,164.85,177.34,167.57,174.87,180.37,173.65,179.84,173.88,179.38,,33,965,33,29.04,
25.06.23 17:45:37,1.03,173.96,173.68,171,174.4,172.71,174.17,171.01,175.99,178.93,175.95,171.73,174.14,170.26,169.27,171,165.79,179.07,169.03,175.35,182.22,174.14,180.33,176.53,180.1,,33,965,33,29.01,
25.06.23 17:45:52,1.28,175.2,173.68,171.49,177.09,173.68,174.66,172.45,176.46,180.93,176.94,173.18,174.63,170.75,169.27,172.47,166.74,178.82,170.75,175.35,183.01,177.04,183.31,177.5,181.55,,33,965,33,28.97,
25.06.23 17:46:07,1.53,176.19,175.15,172.46,177.34,174.42,175.4,173.9,177.18,181.19,177.94,172.94,176.08,171.73,170.75,173.2,168.4,181.04,170.26,177.54,183.54,178.26,184.56,178.71,182.28,,33,965,33,28.97,
25.06.23 17:46:22,1.78,175.95,175.89,173.18,177.83,176.14,175.64,174.62,177.65,181.44,178.94,173.9,176.08,172.47,171.24,172.71,167.92,179.81,171.49,178.51,183.28,175.1,184.81,179.19,183.73,,33,965,33,28.97,
25.06.23 17:46:37,2.03,177.19,176.38,174.4,178.81,176.87,177.11,175.1,178.13,181.69,179.69,174.39,177.54,175.2,171.24,174.67,169.11,182.28,171.98,179.25,184.6,179.23,186.06,179.68,182.76,,33,965,33,28.99,
25.06.23 17:46:52,2.28,178.44,178.11,175.13,179.3,178.6,177.61,176.31,179.33,182.44,180.69,175.36,177.3,173.71,172.73,174.43,171.25,182.77,173.21,180.96,183.81,177.77,185.56,180.89,184.71,,33,965,33,29.01,
25.06.23 17:47:08,2.55,178.69,179.59,174.88,179.8,179.09,178.1,176.31,179.81,183.2,181.45,175.6,178.27,171.98,172.23,176.64,171.73,182.77,172.47,179.98,183.81,176.8,183.31,179.92,182.03,,33,965,33,29.01,
25.06.23 17:47:23,2.8,179.44,180.33,175.37,181.28,179.84,178.59,176.31,180.29,185.22,181.7,176.58,178.51,172.47,171.24,177.88,173.88,182.28,172.23,181.7,184.87,175.83,183.31,181.38,182.76,,33,965,33,29.05,
25.06.23 17:47:38,3.05,180.44,181.32,175.37,181.28,179.84,178.1,176.8,181.97,184.96,183.21,176.09,179.25,173.96,171.49,178.87,176.52,184.02,172.23,181.94,184.6,178.99,186.06,182.11,185.44,,33,965,33,29.08,
25.06.23 17:47:53,3.3,179.69,181.32,176.1,181.53,180.08,179.58,177.29,182.21,184.46,184.22,177.06,179.25,174.7,172.48,179.86,176.04,183.02,172.97,183.42,185.4,180.45,186.06,183.58,184.95,,33,965,33,29.11,
25.06.23 17:48:08,3.55,180.94,180.33,176.59,182.02,179.59,179.33,178.26,181.97,184.21,182.45,177.31,179.49,172.97,171.74,181.35,175.32,183.52,173.46,181.94,187,180.7,186.06,181.87,185.44,,33,965,33,29.15,
25.06.23 17:48:23,3.8,181.19,181.57,177.08,182.52,179.59,180.57,179.23,182.93,185.22,184.98,178.28,178.76,172.47,172.23,180.36,177.97,182.53,173.95,182.93,186.46,180.21,186.56,182.6,186.9,,33,965,33,29.18,
25.06.23 17:48:38,4.05,180.94,181.82,176.83,182.76,179.84,180.82,178.75,183.17,185.22,184.47,177.31,180.23,171.49,171.49,182.1,177.25,182.03,173.95,182.93,186.2,179.97,185.31,181.62,185.68,,33,965,33,29.18,
25.06.23 17:48:53,4.3,180.44,181.57,177.08,182.52,180.08,180.32,180.21,183.9,183.95,183.97,177.31,179.25,172.72,172.23,181.85,177.01,182.28,175.44,183.67,186.2,178.75,183.81,182.11,185.19,,33,965,33,29.21,
25.06.23 17:49:08,4.55,180.94,180.58,177.08,183.01,180.58,179.83,179.97,183.42,185.22,186.5,177.55,181.45,172.97,172.97,181.35,176.52,178.08,174.45,184.65,186.46,178.99,181.57,183.33,187.39,,33,965,33,29.22,
25.06.23 17:49:23,4.8,180.69,181.08,176.59,182.76,180.08,179.83,179.97,183.66,184.21,185.74,178.04,179.98,172.72,173.22,181.6,177.97,180.05,173.71,183.91,186.2,178.99,183.56,183.33,186.17,,33,965,33,29.26,
25.06.23 17:49:38,5.05,180.69,181.08,176.59,183.76,179.34,179.09,180.45,184.38,184.46,186.24,177.79,180.96,172.47,174.46,182.85,177.01,180.79,173.71,183.42,185.4,179.72,179.34,182.11,187.39,,33,965,33,29.28,
25.06.23 17:49:53,5.3,179.44,181.57,176.35,182.52,182.07,180.08,180.45,183.9,184.21,186.24,177.31,181.45,171.98,174.71,183.35,178.22,179.31,172.23,183.17,185.93,179.48,182.32,185.54,188.13,,33,965,33,29.3,
25.06.23 17:50:08,5.55,178.94,181.82,176.1,184,181.82,182.81,180.94,184.14,184.96,187.01,177.55,181.94,171.49,174.71,183.6,180.4,180.05,171.98,185.15,188.33,181.68,181.08,184.56,187.64,,33,965,33,29.35,
25.06.23 17:50:23,5.8,179.69,181.08,176.83,183.76,182.07,182.81,181.19,185.84,185.22,186.5,177.06,181.21,170.5,174.71,182.6,178.94,182.53,173.71,185.64,187.26,180.21,178.85,183.82,185.93,,33,965,33,29.36,
25.06.23 17:50:38,6.05,180.19,181.08,176.59,184.5,181.08,181.07,180.7,185.59,184.96,188.79,176.58,181.45,170.26,173.47,181.6,178.46,177.84,172.97,186.14,188.33,179.72,181.82,184.56,187.15,,33,965,33,29.4,
25.06.23 17:50:53,6.3,179.94,180.33,176.35,183.51,180.83,180.08,181.19,185.84,184.21,187.77,176.58,181.45,168.3,174.22,182.1,177.25,178.33,173.46,187.13,185.67,177.29,183.56,182.11,185.19,,33,965,33,29.41,
25.06.23 17:51:08,6.55,179.69,180.58,175.61,183.01,179.59,179.58,181.68,185.59,184.46,188.02,178.04,180.23,168.54,173.47,181.6,176.04,177.1,173.21,185.15,187.8,177.77,183.31,181.62,187.64,,33,965,33,29.43,
25.06.23 17:51:23,6.8,179.19,181.08,175.37,183.26,179.34,181.07,181.19,185.35,183.45,189.04,177.31,180.96,167.81,173.72,181.85,177.01,178.08,173.21,183.67,187.26,178.99,183.81,182.35,186.66,,33,965,33,29.43,
25.06.23 17:51:38,7.05,179.69,180.33,175.37,183.76,178.35,179.58,182.17,185.59,183.95,187.01,177.31,180.47,168.3,173.47,181.85,176.28,179.81,172.47,185.15,187,176.56,181.82,182.84,186.41,,33,965,33,29.47,
25.06.23 17:51:53,7.3,179.19,178.85,175.61,183.51,179.84,180.32,181.92,186.32,182.44,188.53,178.77,181.45,169.03,171.24,182.1,177.73,178.57,171,184.9,186.46,178.26,179.59,180.65,186.9,,33,965,33,29.49,
25.06.23 17:52:08,7.55,179.69,179.09,174.88,183.01,180.08,180.57,182.17,186.32,183.2,187.77,177.31,181.7,167.56,169.51,182.85,178.22,177.84,171,184.9,188.33,177.29,183.06,181.87,188.86,,33,965,33,29.51,
25.06.23 17:52:23,7.8,179.19,179.34,174.88,184,179.84,179.58,182.41,186.08,182.69,189.55,176.33,181.21,165.61,170.25,181.35,176.28,180.55,170.51,185.89,187.53,178.99,179.09,181.14,187.88,,33,965,33,29.57,
25.06.23 17:52:38,8.05,179.19,179.84,174.4,183.51,180.83,180.32,182.17,185.35,183.2,188.79,176.09,181.7,165.61,169.51,181.6,176.77,179.81,171.49,187.38,186.73,177.77,180.58,184.8,186.17,,33,965,33,29.58,
25.06.23 17:52:53,8.3,179.19,179.09,175.61,182.76,181.57,181.56,182.17,187.29,182.69,189.81,175.6,181.94,165.12,170.99,183.1,177.49,177.1,170.51,187.13,186.2,178.75,180.33,181.14,188.13,,33,965,33,29.61,
25.06.23 17:53:08,8.55,178.44,177.61,174.64,183.01,181.57,181.81,182.17,186.81,181.69,189.04,174.63,181.21,166.34,169.76,181.6,175.08,177.1,171.73,186.14,185.13,178.26,177.37,181.87,188.62,,33,965,33,29.61,
25.06.23 17:53:23,8.8,178.19,177.61,173.91,183.76,181.82,182.81,181.68,186.81,182.95,189.3,174.63,181.94,166.83,169.51,182.85,176.52,175.38,170.51,187.13,185.93,178.99,176.38,180.41,185.19,,33,965,33,29.63,
25.06.23 17:53:38,9.05,178.19,177.12,173.18,183.01,182.57,182.56,182.91,187.54,182.69,189.55,174.39,181.94,166.58,170.25,182.35,176.52,177.1,170.01,186.63,186.46,178.01,176.87,181.87,187.64,,33,965,33,29.65,
25.06.23 17:53:53,9.3,177.69,177.37,173.18,182.52,180.33,181.56,181.68,187.29,182.44,190.06,175.85,180.96,163.91,168.04,181.35,175.08,175.14,170.26,186.63,186.73,179.23,175.64,180.65,187.39,,33,965,33,29.65,
25.06.23 17:54:08,9.55,177.69,176.63,173.91,183.26,179.34,179.33,182.17,187.05,182.69,189.55,174.63,180.47,165.12,168.04,182.35,176.28,179.56,168.79,186.38,187.26,177.53,175.64,180.16,186.17,,33,965,33,29.68,
25.06.23 17:54:23,9.8,176.94,176.63,172.7,182.52,179.59,178.59,182.17,187.54,181.94,190.57,175.85,180.72,166.1,168.28,183.35,175.8,177.84,168.55,187.87,187.8,179.97,174.66,183.09,187.88,,33,965,33,29.71,
25.06.23 17:54:38,10.05,177.44,176.63,171.97,183.26,177.86,178.1,181.92,187.29,181.69,190.83,175.6,181.45,163.66,168.28,184.6,176.04,176.61,167.81,186.88,186.2,177.53,172.46,181.38,187.64,,33,965,33,29.75,
25.06.23 17:54:53,10.3,176.69,176.63,172.46,182.27,178.85,178.59,182.91,187.54,182.95,190.06,176.33,180.47,164.39,168.04,183.6,175.32,175.87,168.79,187.13,184.87,178.75,171.24,179.19,188.62,,33,965,33,29.76,
25.06.23 17:55:08,10.55,176.94,176.63,172.7,181.77,179.59,178.35,183.15,188.76,182.95,192.11,177.06,181.21,166.34,168.28,185.1,174.36,174.65,168.06,187.63,185.13,177.77,172.22,181.14,188.37,,33,965,33,29.79,
25.06.23 17:55:23,10.8,176.69,176.38,172.94,182.27,179.59,179.83,182.91,188.03,182.95,190.06,179.51,180.23,164.64,167.55,184.85,176.77,175.63,167.08,187.38,185.4,178.26,170.51,182.35,187.64,,33,965,33,29.8,
25.06.23 17:55:38,11.05,176.44,177.12,171.97,182.02,178.6,178.1,182.17,187.78,182.69,190.83,179.02,180.72,164.39,167.3,184.6,176.04,175.14,167.57,187.38,183.01,178.75,168.33,179.68,186.9,,33,965,33,29.83,
25.06.23 17:55:53,11.3,176.94,176.38,171.25,180.04,176.63,178.35,183.15,188.27,182.19,190.83,178.53,180.72,165.85,165.34,184.6,175.08,175.63,167.81,187.13,182.48,179.23,169.54,181.62,185.19,,33,965,33,29.83,
25.06.23 17:56:08,11.55,176.69,176.63,170.76,181.77,176.14,179.83,181.92,188.03,181.94,189.55,178.04,180.47,164.88,165.59,185.1,175.08,175.38,166.35,187.63,180.37,177.29,168.57,179.92,186.17,,33,965,33,29.86,
25.06.23 17:56:23,11.8,177.69,176.63,171.25,182.52,176.63,179.58,182.41,188.27,180.68,191.09,178.77,180.47,164.64,163.88,183.85,174.12,173.68,167.08,187.63,182.48,175.59,169.79,178.22,184.95,,33,965,33,29.88,
25.06.23 17:56:38,12.05,177.19,176.63,171.97,181.77,176.87,179.83,182.41,188.03,181.44,191.09,178.77,180.96,161.73,163.63,184.1,174.36,173.68,166.59,187.13,184.34,178.75,167.12,182.35,184.95,,33,965,33,29.9,
25.06.23 17:56:53,12.3,176.94,176.87,171.25,181.28,175.4,179.83,183.15,187.54,181.19,190.57,180,179.25,161,162.17,184.85,173.16,176.85,165.62,188.87,184.6,176.31,171,180.16,185.68,,33,965,33,29.91,
25.06.23 17:57:08,12.55,176.44,177.12,171.49,181.28,175.89,179.09,182.17,189,180.93,190.83,179.26,181.21,159.56,161.93,184.85,171.97,176.12,165.38,188.12,183.54,175.35,168.57,177.5,187.15,,33,965,33,29.96,
25.06.23 17:57:23,12.8,176.44,177.37,170.28,179.55,176.38,179.58,183.15,188.76,181.19,191.09,178.28,180.72,158.35,161.69,185.85,172.2,176.12,163.68,187.87,183.81,177.77,170.76,178.46,188.13,,33,965,33,29.97,
25.06.23 17:57:38,13.05,176.19,176.87,169.32,178.57,175.15,180.57,182.17,189.25,180.68,190.57,177.31,179.49,157.39,161.69,184.35,171.49,172.95,163.92,189.12,184.87,177.04,167.85,179.68,187.15,,33,965,33,30,
25.06.23 17:57:53,13.3,176.44,176.87,169.08,178.57,174.66,179.58,182.91,189,181.19,189.81,177.55,180.96,155.96,160.48,186.36,172.44,173.19,165.38,188.87,183.28,177.77,168.09,177.74,187.88,,33,965,33,30.01,
25.06.23 17:58:08,13.55,175.7,176.87,168.35,177.58,176.14,178.84,182.91,189,179.68,191.6,176.82,179,156.68,159.75,184.35,171.01,172.7,165.38,189.12,183.01,176.07,168.09,180.41,185.19,,33,965,33,30.03,
25.06.23 17:58:23,13.8,175.2,176.38,168.11,177.83,175.64,179.09,182.91,188.51,180.18,190.57,175.85,179.98,155.24,161.69,186.36,172.68,173.92,163.92,187.63,184.07,177.04,167.36,178.46,186.17,,33,965,33,30.04,
25.06.23 17:58:38,14.05,174.46,176.63,167.63,178.57,176.38,177.61,181.92,188.51,179.18,191.34,175.36,179.74,154.29,161.2,186.86,171.73,171.73,163.44,186.88,185.4,175.1,166.4,177.5,186.66,,33,965,33,30.04,
25.06.23 17:58:53,14.3,174.95,176.63,168.35,177.83,177.12,178.1,182.41,188.51,177.43,192.11,175.85,178.76,154.53,160.24,185.1,170.53,173.19,164.16,187.87,185.67,177.29,167.61,176.05,187.64,,33,965,33,30.05,
25.06.23 17:59:08,14.55,174.21,175.4,168.11,177.83,177.12,177.36,182.91,189,178.18,191.09,175.36,179.25,154.29,159.51,185.35,170.77,174.16,162.95,188.12,184.6,177.29,168.57,178.22,186.17,,33,965,33,30.08,
25.06.23 18:01:06,16.52,17.8,185.81,< 0 µmol,224.58,< 0 µmol,< 0 µmol,93.87,290.8,< 0 µmol,< 0 µmol,63.45,391.02,< 0 µmol,489.44,601.88,< 0 µmol,538.72,< 0 µmol,263.57,0,210.95,> 707.6 µmol,< 0 µmol,401.96,,33,965,33,30.21,965D6-(E1);
25.06.23 18:01:21,16.77,85.66,689.5,521.44,673.05,526.91,48.91,635.38,> 707.6 µmol,660.75,592.46,183.19,> 707.6 µmol,538.36,567.45,< 0 µmol,< 0 µmol,< 0 µmol,1.01,447.58,< 0 µmol,< 0 µmol,< 0 µmol,135.57,> 707.6 µmol,,33,965,33,30.22,965D6-(E1);
25.06.23 18:01:36,17.02,71.29,326.29,151.58,< 0 µmol,< 0 µmol,< 0 µmol,< 0 µmol,244.52,< 0 µmol,275.28,< 0 µmol,222.6,< 0 µmol,593.49,144.38,565.79,< 0 µmol,< 0 µmol,375.23,554.09,< 0 µmol,< 0 µmol,< 0 µmol,< 0 µmol,,33,965,33,30.26,965D6-(E1);
25.06.23 18:01:51,17.27,3.3,194.66,151.35,82.68,238.78,< 0 µmol,339.97,166.1,613.87,> 707.6 µmol,> 707.6 µmol,< 0 µmol,< 0 µmol,< 0 µmol,< 0 µmol,385.06,139.75,> 707.6 µmol,233.9,387.53,< 0 µmol,< 0 µmol,< 0 µmol,< 0 µmol,,33,965,33,30.28,965D6-(E1);
25.06.23 18:02:29,17.9,25.13,131.92,< 0 µmol,10.49,31.96,< 0 µmol,< 0 µmol,362.41,128.96,> 707.6 µmol,< 0 µmol,< 0 µmol,77.49,> 707.6 µmol,531.94,< 0 µmol,22.19,> 707.6 µmol,> 707.6 µmol,121.94,392.11,43.68,< 0 µmol,358.72,,33,965,33,30.29,965D6-(E1);
25.06.23 18:02:44,18.15,345.53,< 0 µmol,148.57,354.29,> 707.6 µmol,> 707.6 µmol,261.4,< 0 µmol,17.42,98.74,532.5,> 707.6 µmol,< 0 µmol,> 707.6 µmol,644.54,17.98,218.47,134.27,> 707.6 µmol,396.61,< 0 µmol,< 0 µmol,< 0 µmol,608.39,,33,965,33,30.29,965D6-(E1);
25.06.23 18:03:06,18.52,80.07,155.43,241.06,115.36,252.55,0,297.86,104.71,67.16,282.22,427.88,46.97,21.6,146.15,45.95,439.61,563.51,94.5,> 707.6 µmol,233.09,377.01,> 707.6 µmol,151.82,< 0 µmol,,33,965,33,30.29,965D6-(E1);
25.06.23 18:03:42,19.12,379.16,353.71,244.39,222.7,371.82,427.31,165.28,188.03,150.96,38.78,231.83,160.31,130.55,235.03,277.91,162.74,185.01,303.54,194.38,164.28,156.82,178.85,169.58,129.48,,33,965,33,30.26,965D6-(E1);
25.06.23 18:03:57,19.37,146.7,2.2,338.66,119.49,307.69,467.18,157.05,< 0 µmol,23.44,94.7,84.8,400.19,293.15,69.16,160.14,< 0 µmol,< 0 µmol,156.47,57.9,4.12,122.8,17.12,110.9,65.66,,33,965,33,30.22,965D6-(E1);
25.06.23 18:04:35,20,< 0 µmol,30.86,68.79,79.24,167.12,178.1,51.13,85.63,< 0 µmol,< 0 µmol,24.64,66.17,< 0 µmol,101.32,72.67,146.59,76.94,150.06,55.24,< 0 µmol,94.28,71.97,< 0 µmol,87.06,,33,965,33,30.19,965D6-(E1);
25.06.23 18:04:50,20.25,136.69,< 0 µmol,11.49,198.88,0,< 0 µmol,369.61,26.91,232.02,0,113.1,51.08,227.06,65.74,176.4,217.72,< 0 µmol,12.51,207.39,95.58,< 0 µmol,< 0 µmol,123.73,81.32,,33,965,33,30.16,965D6-(E1);
25.06.23 18:05:05,20.5,369.85,220.52,155.08,10.49,3.41,< 0 µmol,545.82,248.63,138.57,554.82,92.34,109.17,63.36,71.39,266.07,112.43,< 0 µmol,107.56,211.8,342.64,324.92,0,201.26,167.71,,33,965,33,30.15,965D6-(E1);
