date,time,tank,symbiont,temp.C,pH.mV,sal.psu,flow.mL.5s,par,tris.date,notes
10/19/22,16:52,C1,Cladocopium,27.5,-55.6,38.23,20,50,20220924,example
10/19/22,16:54,C2,Cladocopium,27.45,-55.6,38.18,22,65,20220924,example
10/19/22,16:56,C3,Cladocopium,27.42,-55.6,38.2,24,71,20220924,example
10/19/22,16:58,D1,Durusdinium,27.43,-55.6,38.19,23,45,20220924,example
10/19/22,16:59,D2,Durusdinium,27.47,-55.6,38.19,21,51,20220924,example
10/19/22,17:01,D3,Durusdinium,27.5,-55.7,38.2,20,60,20220924,example
10/20/22,16:20,C1,Cladocopium,27.51,-56.5,38.24,25,27,20220924,example
10/20/22,16:22,C2,Cladocopium,27.46,-56.5,38.26,25,20,20220924,example
10/20/22,16:23,C3,Cladocopium,27.55,-56.5,38.23,30,31,20220924,example
10/20/22,16:25,D1,Durusdinium,27.42,-56.5,38.25,28,26,20220924,example
10/20/22,16:26,D2,Durusdinium,27.46,-56.5,38.19,27,27,20220924,example
10/20/22,16:28,D3,Durusdinium,27.55,-56.5,38.19,25,23,20220924,example
10/21/22,16:08,C1,Cladocopium,27.66,-55.7,38.21,20,29,20220924,example
10/21/22,16:09,C2,Cladocopium,27.63,-55.8,38.2,26,24,20220924,example
10/21/22,16:11,C3,Cladocopium,27.64,-55.8,38.22,21,37,20220924,example
10/21/22,16:12,D1,Durusdinium,27.64,-54.6,38.2,22,34,20220924,example
10/21/22,16:14,D2,Durusdinium,27.64,-55.5,38.22,22,32,20220924,example
10/21/22,16:16,D3,Durusdinium,27.68,-55.6,38.21,22,30,20220924,example
10/23/22,17:15,C1,Cladocopium,27.75,-57.2,38.32,18,65,20220924,example
10/23/22,17:17,C2,Cladocopium,27.71,-57.2,38.33,19,80,20220924,example
10/23/22,17:19,C3,Cladocopium,27.79,-57.2,38.23,21,90,20220924,example
10/23/22,17:21,D1,Durusdinium,27.71,-57.2,38.27,26,30,20220924,example
10/23/22,17:22,D2,Durusdinium,27.75,-57.2,38.25,24,41,20220924,example
10/23/22,17:23,D3,Durusdinium,27.74,-57.2,38.25,23,55,20220924,example